,word,label
142,doubling,0
143,elevator,0
144,Chris,0
145,estimation,0
146,deficits,0
147,Stores,0
148,brainwashing,0
149,perished,0
150,seniority,0
151,Albright,0
152,morgen,0
153,cute,0
154,crucified,0
155,Cramer,0
156,hurried,1
157,amplifying,0
158,impressionists,1
159,Difficult,1
160,Secrecy,0
161,Pestle,0
162,Contrast,0
163,interpenetrate,0
164,eighty-four,0
165,wonderfulness,1
166,accessories,1
167,Grappelly,1
168,anti-discrimination,0
169,logical,0
170,martingale,0
171,gamblers,0
172,blossom,1
173,kisses,1
174,outdoor,1
175,54th,0
176,clucks,0
177,sarcasm,0
178,populations,0
179,verisimilitude,0
180,Alsatians,0
181,politico,0
182,expectable,0
183,impulse,0
184,Hayter,0
185,people,0
186,3:57,0
187,insertions,0
188,Miscellaneous,1
189,cuffs,1
190,huddled,1
191,organdy,0
192,concordant,0
193,Welch,0
194,Tugaru,0
195,Garstung,0
196,Kate's,0
197,Billikens,1
198,$.50,0
199,make-up,0
200,gazelle,1
201,exertion,0
202,seminar,0
203,Sabella,1
204,shills,1
205,Mass,1
206,90-degree,1
207,typology,0
208,purchasing,0
209,sympathetically,1
210,judgeship,0
211,Students,0
212,lay-offs,1
213,Poe,0
214,sulked,0
215,Schramm,1
216,carbines,0
217,cap-and-ball,1
218,somnolence,0
219,stripes,0
220,pre-school,1
221,$2.82,0
222,Crimea,0
223,Matsu,0
224,ex-Gov.,0
225,Dealers,0
226,mule,0
227,sods,0
228,cackly,0
229,1896,0
230,Leesona-Holt,1
231,cams,0
232,nonsensical,0
233,residence,0
234,Sitwell,1
235,Adrian,0
236,subsequently,0
237,fragmented,0
238,natal,0
239,purchaser's,0
240,degeneration,0
241,lovelies,0
242,delegating,0
243,retold,0
244,nighted,0
245,water-line,0
246,abounded,0
247,gynecologists,0
248,provokes,0
249,stamp,0
250,diehard,0
251,follow-through,1
252,prevaile,0
253,tomatoes,0
254,Gator,0
255,To,0
256,sublimate,0
257,anvil,0
258,obey,0
259,chuckles,0
260,rectangle,0
261,cruise,0
262,sedentary,0
263,throttled,1
264,tonsil,0
265,tender,0
266,unload,0
267,bloodshot,1
268,Eight,0
269,1837,0
270,Harro,1
271,"1,524",0
272,Wagner's,0
273,pocketbooks,1
274,'50,0
275,elegiac,0
276,hangar,0
277,mid-April,0
278,packing,0
279,weariness,1
280,barefooted,1
281,adjudging,0
282,7-passenger,1
283,22-year-old,1
284,Diana,0
285,ordo,0
286,currents,1
287,Houston,0
288,Municipal,0
289,enchained,0
290,ripened,0
291,infiltration,0
292,Judson,0
293,dishwater,0
294,banal,0
295,pre-determined,0
296,literal,0
297,do-gooder,1
298,behavioral,0
299,self-conscious,0
300,Strippers,1
301,Each,0
302,Free-Will,1
303,Cahill,1
304,Cliburn,0
305,Sturley,0
306,store-front,0
307,rat-holes,0
308,Dominican,0
309,Billiken,1
310,Signor,0
311,Images,0
312,deluxer,0
313,underpaid,0
314,Pabor,0
315,2.5,0
316,department,0
317,Government-owned,0
318,AL,0
319,socio-political,0
320,conspiracy,0
321,Swim,0
322,betraying,0
323,Gas,0
324,2-3/4'',1
325,Neal,0
326,S-11,1
327,back-yard,0
328,compelled,1
329,superstition,0
330,runways,0
331,'most,0
332,Redbirds',0
333,Polish,0
334,espoused,0
335,Woollcott,1
336,nolo,0
337,Presiding,0
338,subordinator,0
339,slice,0
340,Havana,0
341,Von,0
342,Garryowen,1
343,Graff,1
344,plane,0
345,dabhumaksanigalu'ahai,0
346,hovering,0
347,Inspector,0
348,executions,0
349,diminish,0
350,lefthander,0
351,Tobin,0
352,synchronizers,0
353,blood-stained,1
354,brashness,1
355,prop,0
356,snobs,0
357,Juan,0
358,Follow-up,1
359,expertly,0
360,consequences,0
361,relinquishing,0
362,adjoining,0
363,sanipractor,0
364,$184,0
365,tediously,0
366,11:30,1
367,exercise,0
368,stealin',0
369,chartists,0
370,intranasal,0
371,shelved,0
372,Enfield,0
373,Feyer's,0
374,parables,0
375,front-back,0
376,McKenna,1
377,Heatwole,0
378,Diving,0
379,postures,0
380,Defense,0
381,mavericks,0
382,meteorite,0
383,Sholom,0
384,timeworn,0
385,pseudo-thinking,0
386,black-body,0
387,Laude,0
388,takings,0
389,override,1
390,fizzled,1
391,Vendome,0
392,monument,0
393,DiGiorgio,0
394,sheath,0
395,north-south,0
396,depth,0
397,Hasseltine,1
398,Include,0
399,Among,0
400,poses,0
401,Vehicle,0
402,assessor's,1
403,offended,1
404,412,0
405,Editions,0
406,Vallfart,1
407,constituency,0
408,parroting,1
409,clustering,0
410,stoicism,0
411,Scotian,0
412,Later,0
413,Multiphastic,0
414,$1,0
415,Yen,0
416,compliance,0
417,1607,0
418,indorsed,0
419,demonstrably,0
420,Kipling,0
421,corrupts,1
422,Harmon,0
423,kilometer,0
424,Brew,0
425,Jokes,0
426,Lenygon's,0
427,servo,0
428,recondite,0
429,yip,0
430,Artfully,1
431,tax,0
432,saw,0
433,acclaimed,1
434,lips,0
435,submissive,1
436,Snapped,1
437,unheard,0
438,galaxy,0
439,wheedled,1
440,Dactyls,0
441,sympathy,0
442,copy,0
443,Extruded,0
444,Convulsively,0
445,Gathering,0
446,corollaries,1
447,soulfully,1
448,Hovdingar,0
449,depositions,0
450,lads,0
451,delicate-beyond-description,0
452,Phillips,1
453,Ventura,0
454,exhilarating,0
455,plume,0
456,Allegro,1
457,Tsarism,0
458,coronary,0
459,Bang-Jensen's,0
460,junior-grade,0
461,1-ton,0
462,1913,0
463,metaphysicals,0
464,Gaspard,0
465,juice,0
466,thick,0
467,monitoring,0
468,War,0
469,Tatian,0
470,"4,369",0
471,chandeliers,0
472,psychological,0
473,notables,0
474,four-element,0
475,Madagascar,0
476,tearing,0
477,ducking,0
478,67,0
479,reclassified,1
480,Sioux,0
481,Menderes,0
482,Kruger's,0
483,ransacking,0
484,inexhaustible,0
485,Wakes,0
486,Budgeting,0
487,1819,0
488,coercive,0
489,Fishing,0
490,pirogues,0
491,operated,0
492,drowning,0
493,hoped-for,0
494,County,0
495,overheating,0
496,rhythmical,0
497,Gregorio,0
498,sticky-fingered,0
499,pushers,0
500,unliterary,0
501,tricolor,0
502,Gloriana,0
503,Kinsell,1
504,barefoot,1
505,Frozen,0
506,Specialty,0
507,rivalry,0
508,Quasimodo,0
509,carcinoma,0
510,loom,1
511,literalness,1
512,Steinbeck's,0
513,disagree,1
514,Fair's,0
515,righteousness,1
516,self-effacement,1
517,2-baser,0
518,Dictionary,0
519,well-developed,1
520,occidental,1
521,Speaking,0
522,thawing,0
523,cantered,0
524,258,0
525,heal,0
526,thinking,0
527,instructions,0
528,instinct,0
529,averaged,0
530,retentive,0
531,liberally,1
532,truckers,0
533,totalled,1
534,villager,1
535,Officer,1
536,heartening,0
537,analogously,0
538,pimples,0
539,airways,0
540,N.J.,0
541,state's-responsibility,0
542,variety,0
543,promenades,0
544,Martinique,0
545,calfskin,0
546,salvage,0
547,specters,0
548,looked,1
549,regrouping,0
550,Post-Dispatch,0
551,rudeness,1
552,piston,0
553,gastrointestinal,0
554,Kruger,0
555,resin-saturated,0
556,clears,0
557,places,0
558,dog-eared,0
559,Baseman,0
560,rocket's,0
561,Epstein,0
562,doctrine,0
563,maxim,0
564,prescribe,0
565,Rickey's,0
566,canyon,0
567,consummate,1
568,reactionaries,0
569,nominate,0
570,resurgent,0
571,relishes,0
572,eruption,0
573,vectors,0
574,rudder,1
575,bred,0
576,cosmopolitanism,0
577,discipline,0
578,Julius,0
579,scour,0
580,M-1,0
581,Natchez,0
582,Bailly,1
583,superior,0
584,epicycles,0
585,Medicine,0
586,oblique,0
587,gratingly,0
588,immensity,1
589,admirers,0
590,atheromatous,0
591,stabled,0
592,Vitus,0
593,Palace,0
594,begging,1
595,epoxy,0
596,non-Greek,1
597,anions,0
598,scout's,0
599,Maiden,0
600,analyses,0
601,extraordinarily,0
602,overload,0
603,months,0
604,Worn,0
605,Skeptics,0
606,Critical,0
607,hand-hewn,0
608,grocer,0
609,Tapley,0
610,Hitchcock,0
611,remarked,0
612,thug,0
613,Nehru's,0
614,implementation,0
615,Journal-American,0
616,promoters,0
617,scorn,0
618,Equator,0
619,Lyford's,0
620,Frederick,0
621,Istvan,0
622,predetermined,0
623,irresistibly,1
624,Hose,0
625,septic,0
626,centralizing,0
627,embattled,1
628,Hoosier,1
629,Reporter,0
630,clerk's,0
631,one-dumbbell,1
632,Bears,0
633,pellets,1
634,pleats,0
635,intermittently,1
636,randomly,0
637,garbled,0
638,rejections,0
639,Piraeus,0
640,Unanalyzed,0
641,Hemmed,1
642,AAb/,1
643,nonsystematic,0
644,que,0
645,complaining,0
646,Oxidation,0
647,Corinthians,0
648,wind-velocity,0
649,argon,0
650,Gargery,0
651,attachment,1
652,rose-pink,0
653,powderpuff,1
654,Line,0
655,deriving,0
656,Vandervoort,1
657,3-hitter,1
658,East-West,0
659,third-rate,0
660,auspices,0
661,hunter's,0
662,colonnade,1
663,Snellville,1
664,geldings,0
665,gloriously,0
666,pyschiatrist,0
667,fittest,1
668,Igor,0
669,perseveres,0
670,trustingly,0
671,Diodati,0
672,Ringing,0
673,amaze,0
674,seventy-six,0
675,Dwor',0
676,sparring,1
677,played-out,0
678,shaken,0
679,reacts,0
680,wicked,0
681,discloses,0
682,proposals,0
683,dinner,1
684,Year,0
685,teleology,0
686,Varani,0
687,Y.M.H.A.,0
688,Wolfe's,0
689,sinewy,0
690,their,0
691,typed,0
692,boss's,1
693,ballyhooey,1
694,Along,0
695,Frayne,0
696,Achieving,0
697,sentry,0
698,stucco,1
699,noisier,0
700,Stephane,0
701,obliquely,0
702,reconstruction,0
703,church-state,0
704,Different,1
705,tangos,0
706,perfect,0
707,Whole,0
708,thick-skulled,1
709,miniscule,0
710,grain-storage,0
711,65,0
712,14%,0
713,Cunningham,1
714,excised,0
715,Bodhisattva,1
716,"1,257,700",1
717,decade,0
718,Herr,1
719,Apologies,0
720,Lafe,0
721,dilation,0
722,Statements,0
723,stylist,0
724,jolly,1
725,Matter,1
726,Schuman's,0
727,D.,0
728,chamber,0
729,absence,0
730,blossoms,1
731,debacle,0
732,2:30.3-:35.3,0
733,altar,0
734,foisted,0
735,Virgil,0
736,Newbery,0
737,reproduction,0
738,affixed,1
739,indisputably,0
740,unsuccessfully,1
741,Content,0
742,Shoulder,0
743,mungus,0
744,Helion's,0
745,vows,0
746,reactions,0
747,lions',0
748,steadfastly,0
749,Cheap,0
750,someplace,0
751,Oxford,0
752,squeaking,0
753,Harvie,0
754,everybody's,0
755,Alliance,1
756,6'.7,0
757,squash,0
758,unpacking,0
759,Caddy,1
760,mediocrity,0
761,Girls,0
762,Berman's,0
763,Shensi,0
764,diagonalizable,0
765,Bellamy's,1
766,chef,0
767,doubled,0
768,subpenas,0
769,stocky,0
770,pulsating,0
771,coup-proof,1
772,partial,0
773,Harcourt,0
774,shrinks,0
775,Ejaculated,0
776,tartly,0
777,Weight,0
778,narcotics,0
779,lover,0
780,heretofore-accepted,1
781,steamily,0
782,compromised,0
783,augurs,0
784,Teter,0
785,Levinger's,0
786,Carrie,1
787,shallow,1
788,upturn,0
789,turnoff,1
790,finned,1
791,anonymity,0
792,sinusoidal,0
793,tubes,0
794,adventurers,0
795,ingenious,0
796,lance,0
797,outraged,0
798,1639-40,0
799,notch,0
800,Clams,0
801,Ai,0
802,Timex,0
803,Contempt,0
804,Eq.,0
805,Arabia,0
806,scandalized,0
807,sorrel,1
808,triple-tank,0
809,Sake,0
810,like-minded,0
811,Hinduism,0
812,bloodlust,1
813,meteoritic,0
814,old-timers,0
815,cornucopia,0
816,unclouded,0
817,distinguishes,0
818,$1500,1
819,appraising,1
820,weakened,0
821,anti-Negro,0
822,Distilled,1
823,Historical,0
824,concert,0
825,Patent,0
826,treatise,0
827,Galantuomo,0
828,assimilation,1
829,relieves,0
830,1910,0
831,Saxton's,0
832,Dell'Arca,1
833,Zend-Avesta,0
834,co-signers,0
835,imparted,0
836,O,0
837,Tiles,0
838,anastomoses,0
839,enrage,0
840,sorriest,1
841,sofas,0
842,Hackmann,1
843,hutment,0
844,photocathode,0
845,coincidence,0
846,incubi,0
847,consultative,0
848,entreated,0
849,Larimer,0
850,inflation,0
851,Prosecutor,0
852,Stimulates,0
853,2:37,0
854,spaniel's,0
855,beams,0
856,Armed,0
857,outspoken,0
858,Councils,0
859,4.0,0
860,counter-balanced,0
861,layers,0
862,folklore,0
863,attic,1
864,motivated,0
865,not-less-deadly,1
866,scant,0
867,Danes,0
868,13th,0
869,launch-control,0
870,teenage,1
871,leaks,0
872,withstands,0
873,os,0
874,Finot,0
875,hindering,0
876,fronts,0
877,Thoreau,0
878,Jist,0
879,Bosphorus,0
880,grievous,0
881,Creek,1
882,Passage,1
883,Electric,0
884,balloon,1
885,transcends,0
886,Msec.,0
887,brooked,1
888,Elvis,0
889,besiege,0
890,bas-relief,0
891,AP,0
892,Hands-off,1
893,dustbin,0
894,gumming,1
895,veterans,0
896,perceiving,0
897,bona,0
898,polyethers,0
899,gentian,0
900,carpets,0
901,moontrack,1
902,Furhmann's,1
903,describe,0
904,assuaged,1
905,smothered,0
906,Developed,0
907,Swedish,0
908,unrifled,0
909,cyclist,0
910,longed,0
911,authoritarianism,0
912,reinterpreted,0
913,scurried,1
914,sexuality,0
915,re-set,0
916,taper,0
917,break-even,0
918,"4,000",1
919,Purdew,0
920,troubling,0
921,rot,0
922,mares,0
923,founder-conductor,0
924,VecTrol's,0
925,course,0
926,aloes,0
927,smugglers',1
928,crest,0
929,finalist,0
930,quarterly,0
931,Born,0
932,Wheelock's,1
933,talismanic,0
934,fill-ins,1
935,scratch,0
936,composer-pianist-conductor,0
937,relations,0
938,treating,0
939,Randolph,0
940,Moving,0
941,closet,0
942,nights,0
943,interwoven,0
944,sensing,0
945,Mono-unsaturated,0
946,Remember,0
947,Faith,0
948,contrived,0
949,tertian,0
950,Purified,0
951,"1,065",0
952,seconds,0
953,impair,0
954,alter-parents,0
955,fat,0
956,Grey's,0
957,Artist,0
958,translated,0
959,quake,0
960,Location,0
961,prefers,0
962,Roman-camp,0
963,Inspections,0
964,stressful,1
965,pathologist,0
966,journey,0
967,Detached,0
968,electromagnetism,0
969,minors,0
970,drumming,1
971,craters,0
972,well-kept,1
973,comradeship,0
974,Someday,0
975,scions,0
976,over-the-counter,0
977,pig,0
978,quackery,0
979,light,0
980,engulfed,0
981,3-3/4'',1
982,Testicular,0
983,delineaments,0
984,scornful,0
985,veined,0
986,chambermaids,0
987,hearers,0
988,Flumenophobe,0
989,ludicrous,0
990,instrumentalities,0
991,exasperate,0
992,notification,0
993,themes,0
994,Corelli,1
995,Desprez,0
996,vociferousness,1
997,Itoiz,0
998,lurk,0
999,327,0
1000,hick-self,0
1001,nickel,0
1002,tomorrow's,1
1003,refilled,1
1004,erratic,1
1005,copes,0
1006,trudged,0
1007,sedulously,0
1008,high-power,0
1009,wood-oil,1
1010,Frost,0
1011,whichever,0
1012,"7,000",1
1013,Mor-ee-air-teeeee,1
1014,sheer,1
1015,Naval,0
1016,210,0
1017,From,0
1018,readjustment,0
1019,Staley,0
1020,Tsarevich,0
1021,advisedly,0
1022,Y-cells,1
1023,"22,807",1
1024,mid-week,1
1025,guidebook,1
1026,dreaded,0
1027,687.87,0
1028,dribbled,1
1029,1594-1674,0
1030,dissents,1
1031,1610,0
1032,Okay,0
1033,3.46,0
1034,340TR,0
1035,risk,0
1036,Rhythm,0
1037,peremptory,0
1038,Venti,0
1039,all-inclusive,1
1040,Me,0
1041,quivered,0
1042,palette,1
1043,screamed,0
1044,splash,0
1045,D,0
1046,eleven,0
1047,607,0
1048,06-05,0
1049,ironing,0
1050,flicks,0
1051,Indians',0
1052,tremble,0
1053,Yards,0
1054,Renfrew,0
1055,showroom,1
1056,Fine,0
1057,acceptability,1
1058,Soviet's,0
1059,Summertime,1
1060,stepson,0
1061,Transcendentalists,0
1062,high-set,0
1063,bloops,1
1064,St-story,0
1065,nation's,0
1066,Romano,0
1067,Agoeng,0
1068,undertaking,0
1069,loathsome,0
1070,postal,0
1071,philharmonic,0
1072,Courcy,0
1073,Brandenburg,0
1074,difference,1
1075,76.7,0
1076,Novosibirsk,0
1077,visually,1
1078,dictionary's,0
1079,worshipful,0
1080,96,0
1081,alors,0
1082,Ardent,0
1083,two-digit,0
1084,melodrama,0
1085,megaton,0
1086,Istiqlal's,0
1087,caveat,0
1088,710,0
1089,kneels,1
1090,Langford,0
1091,thrusts,0
1092,conclusively,0
1093,Melamine,0
1094,sensationalism,0
1095,households,0
1096,suggestion,1
1097,choices,0
1098,carrier,1
1099,exposures,0
1100,check,0
1101,Novosti,0
1102,Ranavan,0
1103,no-nonsense,0
1104,pageant,0
1105,off-level,1
1106,hotel's,0
1107,ourselves,0
1108,revulsion,0
1109,edgy,0
1110,noli,0
1111,Greville's,1
1112,Texas,0
1113,Pornsen,0
1114,Congratulations,0
1115,playful,0
1116,rascals,0
1117,terrified,1
1118,discouragement,0
1119,Church's,0
1120,bout-de-souffle,1
1121,expressed,1
1122,2:00.2,1
1123,canisters,0
1124,Quick-Wate,0
1125,Sicurella,1
1126,Fund,0
1127,geopolitical,0
1128,threading,0
1129,Fawcett,1
1130,chuckled,0
1131,Eppler,1
1132,cut-glass,1
1133,Spots,0
1134,specialization,0
1135,thought,0
1136,prey,0
1137,61,0
1138,purtiest,0
1139,bough,0
1140,seq.,0
1141,punster,0
1142,subroutines,0
1143,betrayal,0
1144,100%,1
1145,downward,0
1146,Mathias,0
1147,analyzing,0
1148,red-tailed,0
1149,corridor,1
1150,driftin',0
1151,fifty-cent,0
1152,Sprouting,0
1153,presser,1
1154,insouciance,0
1155,Du,0
1156,abscissa,1
1157,6124,0
1158,Dept.,0
1159,gazing,0
1160,gray-thatched,0
1161,bearing,0
1162,uncap,0
1163,showered,0
1164,"15,000",1
1165,firebreaks,0
1166,unduly,0
1167,counter,0
1168,Ayres',0
1169,vertebrate,0
1170,case-history,0
1171,Mack,0
1172,Eichmann's,1
1173,pulleys,1
1174,Boeotian,0
1175,double-stage,0
1176,Ginner's,1
1177,Rhythms,0
1178,conceding,0
1179,Marshal,0
1180,Battenkill,1
1181,parimutuels,0
1182,Frankford,0
1183,student-physicists,0
1184,ocular,0
1185,wrongdoer,0
1186,ashtrays,0
1187,backing,0
1188,reflectance-measuring,0
1189,gathers,0
1190,caliphs,0
1191,off-shore,1
1192,joyous,0
1193,Peck,0
1194,libellos,1
1195,Franck,0
1196,Fiske,0
1197,Boucher,0
1198,commemorates,1
1199,60-1,0
1200,sorbed,0
1201,gazes,0
1202,Prosopopoeia,0
1203,Rosen,0
1204,exonerate,0
1205,visrhanik,0
1206,3/8-inch-thick,0
1207,Othon's,0
1208,Early,0
1209,robbed,1
1210,lobule,0
1211,hypothalamic,0
1212,Adjoining,0
1213,Siegfried,0
1214,advancing,0
1215,rooting,1
1216,twenty-two,0
1217,sanctuary's,0
1218,ugly,0
1219,bumptious,0
1220,traveling,0
1221,catches,0
1222,De,0
1223,Czar,0
1224,parading,0
1225,referent,0
1226,bustin',0
1227,$12.7,0
1228,Hearst's,0
1229,agreeable,1
1230,barons,0
1231,classless,1
1232,utensils,0
1233,steadily,0
1234,script,0
1235,muskadell,1
1236,mistook,1
1237,Robbie,1
1238,amusement,0
1239,convection,0
1240,trains,0
1241,Shillong,1
1242,levy,0
1243,Machines,0
1244,Chewing,0
1245,Dookiyoon,1
1246,weddings,1
1247,6',0
1248,communes,1
1249,ambassador's,1
1250,lethargies,0
1251,vapor-pressure,1
1252,ah,0
1253,confers,0
1254,Nurses',0
1255,Dienbienphu,0
1256,everyday,0
1257,puttering,1
1258,Unhappily,1
1259,ejected,0
1260,asked,0
1261,Deus,0
1262,lilting,0
1263,illustrator,1
1264,primed,0
1265,coordinates,1
1266,stiff-backed,1
1267,sabre,0
1268,runner,1
1269,Deduction,0
1270,throttle,1
1271,locate,0
1272,public-school,1
1273,unacknowledged,0
1274,tonics,0
1275,starting,0
1276,Open,0
1277,batteries,1
1278,insulted,0
1279,actuate,0
1280,nucleus,0
1281,syrup,0
1282,sailed,0
1283,discreetly,1
1284,He'll,1
1285,Squadron,0
1286,Doaty's,0
1287,bolder,0
1288,depress,1
1289,judiciously,0
1290,Siddo,1
1291,trial-book,1
1292,handfuls,0
1293,pulsations,0
1294,Cleaned,0
1295,casters,0
1296,capstan,0
1297,guess,1
1298,antisera,0
1299,Ahmiri,0
1300,Grigori's,0
1301,lose,0
1302,Silone,0
1303,contriving,0
1304,extremists,0
1305,wrinkles,0
1306,ghoul,0
1307,cornerstone,0
1308,2-3/4,0
1309,archipelago,0
1310,unions,0
1311,Jacoby's,0
1312,Muskoka,0
1313,Kikuyu,0
1314,Lisa,0
1315,refill,1
1316,Combine,0
1317,10.3-cm,0
1318,unpatronizing,0
1319,dumping,0
1320,remanding,0
1321,Finland,0
1322,Burr,1
1323,patented,0
1324,humanities,0
1325,Outstanding,0
1326,Apollinaire,1
1327,rejoinder,0
1328,Kafka,0
1329,oxygens,0
1330,Nuttall,1
1331,torch,0
1332,Flor,0
1333,Transcendental,0
1334,Malden,0
1335,lumbering,0
1336,functionally,1
1337,bewitched,0
1338,swallow,1
1339,counter-escalation,0
1340,lazily,0
1341,antic,0
1342,Firearms,0
1343,pretends,0
1344,you'll,1
1345,rabbit,1
1346,Calvin,0
1347,zip,0
1348,bugging,1
1349,articulate,0
1350,principles,0
1351,veneer,1
1352,wax,0
1353,enthusiastic,0
1354,centers,0
1355,juke,0
1356,rootless,1
1357,rosebush,0
1358,horizontally,1
1359,Athletics,0
1360,leaches,0
1361,Hersey,0
1362,Channel-type,1
1363,fernery,0
1364,Reformed,0
1365,Fairless,1
1366,AF,0
1367,piracy,0
1368,de-iodinated,0
1369,symbolical,0
1370,Julian,0
1371,year,0
1372,costumed,0
1373,sinkhole,0
1374,attired,1
1375,huh,0
1376,scraped,0
1377,sustain,0
1378,cowpuncher,0
1379,graduating,0
1380,rehabilitation,0
1381,Impartiality,0
1382,antigen,0
1383,blend,0
1384,satellites,1
1385,Deck,0
1386,thanking,0
1387,Dramatic,0
1388,Spark,0
1389,nester,0
1390,leather-bound,0
1391,process-server,1
1392,primates,0
1393,unfrocking,0
1394,plausible,0
1395,Replied,0
1396,Quiney,0
1397,Folded,0
1398,Singing,0
1399,Atlantic,0
1400,involve,0
1401,mopping,1
1402,Cassite,1
1403,caucus,0
1404,image,0
1405,Thoughts,0
1406,30-30,0
1407,shop,0
1408,campaigns,0
1409,Privy,0
1410,station's,0
1411,Modular,0
1412,Spectra,0
1413,mouth,0
1414,Boyd,0
1415,Gursel,0
1416,Mommy's,1
1417,Portrait,0
1418,playback,0
1419,Phrase,0
1420,witch,0
1421,chip,0
1422,255,1
1423,Peiping,0
1424,Eldon,0
1425,Cynewulf,0
1426,unglamorous,0
1427,text-ordered,0
1428,Beginning,1
1429,Merrick,1
1430,Hump,0
1431,food-preservation,1
1432,"$1,200",1
1433,operational,0
1434,New,0
1435,digging,1
1436,half-grown,0
1437,Selling,1
1438,tetrahalides,0
1439,elementary-school,1
1440,squirmed,0
1441,secrets,0
1442,factions,0
1443,overflowing,0
1444,plumber,0
1445,Tjokorda,0
1446,slip,0
1447,gorgeous,0
1448,postulated,0
1449,cinematic,0
1450,frailest,0
1451,Verdi's,0
1452,hoo-pig,1
1453,Astronaut,0
1454,Granny,1
1455,periodicals,0
1456,sonnet,1
1457,3.4,0
1458,"400,000,000",1
1459,Liter,0
1460,circumlocution,0
1461,periphrastic,0
1462,Minh,0
1463,nationalisms,0
1464,Bar-H,0
1465,Morse's,0
1466,pre-drilled,1
1467,Welcome,0
1468,voyager,0
1469,Espanol,0
1470,petition,0
1471,behooves,1
1472,necessities,1
1473,thickets,0
1474,McElvaney,0
1475,firmly,0
1476,Traveling,0
1477,September,0
1478,inexpressible,1
1479,stepmother,0
1480,Examination,0
1481,Lorenz,0
1482,hyperbolically,1
1483,buckle-on,0
1484,copybooks,1
1485,oneness,1
1486,Thermoforming,0
1487,trouble-free,1
1488,meadows,0
1489,empiricism,0
1490,contralto,0
1491,favorer,0
1492,terms,0
1493,insecurity,0
1494,Provisional,0
1495,sacrilege,0
1496,imbalances,0
1497,mounds,0
1498,master's,0
1499,transcended,0
1500,08,0
1501,Merritt,1
1502,Super-Protein,0
1503,outskirts,0
1504,Fuck,0
1505,multi-product,0
1506,White-shirted,0
1507,placement,0
1508,Briton,0
1509,Parsons,0
1510,Welmers,0
1511,ammonium,1
1512,palm-lined,0
1513,Broad,0
1514,84-foot,1
1515,yawning,0
1516,rewritten,1
1517,single-handedly,0
1518,imagine,0
1519,orthophosphate,0
1520,authorizations,0
1521,Forty-seven,0
1522,resource,0
1523,worldly,0
1524,Canaveral's,0
1525,Lester's,0
1526,8-channel,1
1527,Paid,0
1528,1805-1879,0
1529,tread,0
1530,Esperanza,0
1531,ears,0
1532,incidental,0
1533,sobbingly,1
1534,Kerr,1
1535,schoolmaster,1
1536,brittle,1
1537,Georgians,0
1538,mai,0
1539,Reviewing,0
1540,glowed,0
1541,rattlesnake,1
1542,'58,0
1543,me,0
1544,Consequently,0
1545,"$1,000",1
1546,Benched,0
1547,indefinitely,0
1548,focal,0
1549,Box,0
1550,Hebraic,0
1551,slacks,0
1552,Blackwells,1
1553,mused,0
